2025-05-26 01:03:17, RSSI_1: None, RSSI_2: None, RSSI_3: -48
2025-05-26 01:03:18, RSSI_1: -55, RSSI_2: None, RSSI_3: -48
2025-05-26 01:03:18, RSSI_1: -55, RSSI_2: None, RSSI_3: -48
2025-05-26 01:03:19, RSSI_1: -56, RSSI_2: None, RSSI_3: -49
2025-05-26 01:03:19, RSSI_1: -56, RSSI_2: -50, RSSI_3: -49
2025-05-26 01:03:20, RSSI_1: -56, RSSI_2: -50, RSSI_3: -49
2025-05-26 01:03:20, RSSI_1: -56, RSSI_2: -50, RSSI_3: -49
2025-05-26 01:03:21, RSSI_1: -56, RSSI_2: -50, RSSI_3: -49
2025-05-26 01:03:21, RSSI_1: -56, RSSI_2: -50, RSSI_3: 127
2025-05-26 01:03:21, RSSI_1: -56, RSSI_2: -50, RSSI_3: 127
2025-05-26 01:03:22, RSSI_1: -56, RSSI_2: -50, RSSI_3: 127
2025-05-26 01:03:22, RSSI_1: -56, RSSI_2: -50, RSSI_3: 127
2025-05-26 01:03:23, RSSI_1: -56, RSSI_2: -50, RSSI_3: 127
2025-05-26 01:03:23, RSSI_1: -56, RSSI_2: -50, RSSI_3: 127
2025-05-26 01:03:24, RSSI_1: -56, RSSI_2: -50, RSSI_3: -49
2025-05-26 01:03:24, RSSI_1: -56, RSSI_2: -51, RSSI_3: -49
2025-05-26 01:03:25, RSSI_1: -56, RSSI_2: -51, RSSI_3: -49
2025-05-26 01:03:25, RSSI_1: -56, RSSI_2: -51, RSSI_3: -49
2025-05-26 01:03:26, RSSI_1: -56, RSSI_2: -51, RSSI_3: -49
2025-05-26 01:03:26, RSSI_1: -56, RSSI_2: -51, RSSI_3: -49
2025-05-26 01:03:26, RSSI_1: -56, RSSI_2: -51, RSSI_3: -49
2025-05-26 01:03:27, RSSI_1: -56, RSSI_2: -51, RSSI_3: -50
2025-05-26 01:03:27, RSSI_1: -56, RSSI_2: -51, RSSI_3: -50
